system,algo,graph,real,user,sys,metric_source,log
ligra,bfs_parent,ER-AvgDeg10-1M-L2,0.1,0.76,0.26,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/bfs_parent/ER-AvgDeg10-1M-L2.txt
ligra,bfs_parent,road-belgium-osm,0.17,0.45,0.65,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/bfs_parent/road-belgium-osm.txt
ligra,bfs_parent,rt-retweet-crawl,0.06,0.39,0.13,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/bfs_parent/rt-retweet-crawl.txt
ligra,bfs_parent,web-google,0.01,0.0,0.0,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/bfs_parent/web-google.txt
ligra,bfs_parent,web-hudong,0.26,2.28,0.63,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/bfs_parent/web-hudong.txt
ligra,cc,ER-AvgDeg10-1M-L2,0.1,1.01,0.28,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/cc/ER-AvgDeg10-1M-L2.txt
ligra,cc,road-belgium-osm,0.48,2.73,0.89,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/cc/road-belgium-osm.txt
ligra,cc,rt-retweet-crawl,0.06,0.61,0.11,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/cc/rt-retweet-crawl.txt
ligra,cc,web-google,0.0,0.0,0.0,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/cc/web-google.txt
ligra,cc,web-hudong,0.31,2.86,0.52,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/cc/web-hudong.txt
ligra,kcore,ER-AvgDeg10-1M-L2,0.21,1.33,0.31,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/kcore/ER-AvgDeg10-1M-L2.txt
ligra,kcore,road-belgium-osm,0.27,1.2,0.33,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/kcore/road-belgium-osm.txt
ligra,kcore,rt-retweet-crawl,0.49,1.95,0.42,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/kcore/rt-retweet-crawl.txt
ligra,kcore,web-google,0.0,0.0,0.03,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/kcore/web-google.txt
ligra,kcore,web-hudong,1.82,12.45,1.73,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/kcore/web-hudong.txt
ligra,pagerank,ER-AvgDeg10-1M-L2,0.23,3.6,0.25,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/pagerank/ER-AvgDeg10-1M-L2.txt
ligra,pagerank,road-belgium-osm,0.13,1.52,0.1,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/pagerank/road-belgium-osm.txt
